   k     k*nj*ni   tji        t total   fn

2015-11-01 17:24:21-01:00
0001   000500000   815   0 00:13:35.0   0.36915490410429727085442369499451598700258542516592936110738699726609953435080759224667809624774450165198095607724920942557589424539245393585929139739959187785308532321388365120719940168639982623215381518831230998327160885106456550028003218813547432153534731672113407306007044968957510314735427687488782404461513578897393482680826520549401800245728411123703365791156696535031590339620240290435728022562332645884569705357674917406095688053217075809392932034318483190333168394593991367646137232237634099
0002   001000000   750   0 00:26:05.0   0.3687811053369587113854941169016419220270895863334543425504167200344830764983936557780714430823041023432893527496407291892530482743512176793792373329471817134488511182627574115953143997152830521344384352764760828671556622769101401846920183367856405127418104824227322075689803816788869017594069515596757341148534013295380963223610739692491090040967518706844648938196138405522585558799741347495142594075003928601271942611468577998801856934850635946149494944594242537471582810787763124980643325435320058
0003   001500000   687   0 00:37:32.0   0.36861556539318574179521730834151915159280753586703916534028826615086193371278073820909023313601490264154932661839656082484338652642652421927527609265253686433885720003097931732738334658125191735488918657404528390637864062558277817622379051646461891799310803709088048748779534224104272867248503010018308024303529480948287142999248560337980072156566322286691872706569494981633378678840851629524595800971156663111166869819197911413449342162011098211373003321208303210686710782656734672840581067191305045
0004   002000000   668   0 00:48:40.0   0.36851690129052918830985186207987700945072344251827109464134161295523317102102132148384735677781435179465470713942535666740765269463333761014117814994873548745637086010963695800417596526922553364460079960967996983416363398338908971265286270095856843148983820787295590106862811477722860972085362347013922963990957227574616485240042200216767484677349620421701981564268348581821832059445638800384228920721861996211218261230598083632833649984986733822139607035179998812115593566923342671630222034225285115
0005   002500000   656   0 00:59:36.0   0.36844957706790528031740103441006649167402795946958976755091178425999174461115636316286481803422234721206308706414482166746717637655162699767872773048974260053832366456141740350696317687863531991269719371900816256407954948088904372758800539796378087297584412793257200493731516906880031150601273017268401458078473070600022719245859854296741207580315973305647356575890577958240268660694053149542633128492342861212105304206335982167545683900052183403241531705328777185276440647582307507416081195286126774
0006   003000000   656   0 01:10:32.0   0.36839988427683346423572293417506157649338799179379425060451448607127971574951127511298046755136319885993840953844214251099997775638817540828463067160663432395508087462127817152809796302176324729785263646113905454612482648984765596260327549602152857575228720578269639860583569441193122659000824220338320584147780211975067199220996041058378664864270528228671890064325275332685218806175575406880498604321938825531457970907476015420632789755414097494176544344564357698980288461644879658209821164374306603
0007   003500000   653   0 01:21:25.0   0.36836126534411134123800977135550470179905588933866751073989846583940634392292228095198422357475200612318735858517609677913647951028823425273557342975362388503003986931423322741889198515484159263700759196989997972331901231157251834203933103324195622884069537102807282789221673348431371913494789231256898244078028085554886205297751279013281797659081535850382175605385423504792559921386616830343769002167608358681420233320805971114743416629865776234619255100253472421205804869308833813077193707400423407
0008   004000000   642   0 01:32:07.0   0.36833013697301194478552432666807788683329555101741520342744888537287741262148423357028120162218219584037666709989983103379096732129272422178709212074898495362041837540034325431667092228865056459863330940447654812953100375218037400128169384637762165567040636128486170576826418678076326312593302608853759907206175409668126741650574860809179347100333666991377456866864150783175895825080073470884925888365422459532119335325934598923863870965825241591780500270213984839305097301732043568930458932377658137
